Sold Direct 5-Year Model — CA-REVIEWED (prime-led taper · in-house origination Y2 · LPC-compliant · 27% tax),,,,,,
All figures ZAR; revenue lines in ZAR millions; see 00-assumptions.md and 01-financial-model.md,,,,,,
Strategy: serve the private-sale segment (complementary to full-service agents); land at prime and taper R6.5m->R4.0m; in-house origination from Y2; employed registered practitioners (PPRA/FFC) assist.,,,,,,
Monetisation: free 0% requires a qualifying >=80% bond (Y1 via BetterBond ~0.5%; Y2+ in-house ~1.5%). Otherwise 1% fee. Bank sponsorship + conveyancer panel advertising (fixed subscriptions — NO referral fees per LPC; seller appoints panel conveyancer with 30-40% fee discount passed on).,,,,,,
,,,,,,
REVENUE DRIVERS (BASE),Y1,Y2,Y3,Y4,Y5,
Avg transacting price (ZAR m) [TAPER],6.5,5.75,5.0,4.5,4.0,
Bonded share (qualifying >=80% bond any bank),40%,40%,40%,42%,42%,
Origination rate on bond (Y1 BetterBond 0.5% -> Y2+ in-house 1.5%),0.50%,1.50%,1.50%,1.50%,1.50%,
Conveyancing referral (REMOVED — LPC prohibits attorney referral fees),0,0,0,0,0,
Revenue per deal (ZAR),55700,70550,62500,57615,52380,
Registered deals (count),50,220,650,1500,2900,
Bank headline sponsorship (ZAR m/yr),3.00,4.00,5.00,6.50,8.00,
Conveyancer panel advertising (ZAR m/yr — fixed subscriptions),0.36,0.72,1.20,1.80,2.40,
,,,,,,
BASE CASE P&L (ZAR m),Y1,Y2,Y3,Y4,Y5,
Transactional revenue,2.79,15.52,40.63,86.42,151.90,
Bank sponsorship + panel advertising,3.36,4.72,6.20,8.30,10.40,
Total revenue,6.14,20.24,46.83,94.72,162.30,
COGS (~12%),-0.74,-2.43,-5.62,-11.37,-19.48,
Gross profit,5.41,17.81,41.21,83.35,142.82,
Payroll + AI agents,3.40,6.10,9.77,22.77,44.59,
Total headcount (50% AI) [CA review: delivery-realistic],8,14,22,50,96,
Marketing (above-the-line),2.50,8.00,18.00,32.00,50.00,
Tech & tools,0.60,1.00,1.80,2.80,4.00,
Legal/compliance/insurance,0.70,1.00,1.50,2.20,3.00,
G&A/office/other,0.60,1.00,1.80,3.20,4.50,
Bond origination (in-house),0.00,2.83,2.56,4.98,8.81,
Total operating expenses,7.80,19.93,35.43,67.95,114.90,
EBITDA,-2.39,-2.12,5.78,15.40,27.93,
EBITDA margin,,,12%,16%,17%,
Tax (27% SA corp; positive EBITDA only),0.00,0.00,-1.56,-4.16,-7.54,
EBITDA after tax,-2.39,-2.12,4.22,11.24,20.39,
Cumulative EBITDA after tax (cash proxy),-2.39,-4.51,-0.29,10.95,31.33,
,,,,,,
SCENARIO SUMMARY,Conservative,Base,Aggressive,,,
Y5 registered deals,1900,2900,4800,,,
Y5 revenue (ZAR m),102.0,162.3,287.0,,,
Y5 EBITDA (ZAR m),4.9,27.9,105.4,,,
Y5 EBITDA margin,5%,17%,37%,,,
First EBITDA-positive year,Y4,Y3,Y2,,,
Cumulative cash low-point (ZAR m),-5.7,-4.5,-2.5,,,
Total capital need incl buffer (ZAR m),8.7,7.5,5.5,,,
Implied share of upper-market Y5,5.4%,8.3%,13.7%,,,
,,,,,,
CAPITAL & RUNWAY,Seed,Series A (optional Y3),,,,
Amount (ZAR m),10,50,,,,
Pre-money (ZAR m),30,250,,,,
New-investor stake,25.0%,16.7%,,,,
Runway check: min cash position Y1-Y5 with seed at Y1 (ZAR m),5.5,Seed alone covers the trough,,,,
,,,,,,
CAP TABLE (ownership %),At Seed (inception),Post-Series A,,,,
Johannes (Commercial Director),30.0%,25.0%,,,,
Dean (COO),30.0%,25.0%,,,,
Paysoft (Technology Partner — equity for preferred rates + free dev to agreed value; vesting),10.0%,8.3%,,,,
